"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PPP1R2",4.32489449041175e-08,-0.248083838471089,0.488,0.597,0.000913806956879099
"NXT1",4.35171835003925e-08,0.183334212049163,0.57,0.428,0.000919474570179793
"CIRBP",4.3871126410907e-08,-0.185366555421192,0.994,0.996,0.000926953029936055
"PODXL",4.41091112502641e-08,0.267011081698681,0.493,0.365,0.000931981411606831
"DOK1",4.43353402110597e-08,-0.242352669480408,0.398,0.514,0.000936761403319481
"HINT3",4.4389113961357e-08,0.215749848636812,0.686,0.561,0.000937897588889513
"SPIN3",4.45532452255632e-08,0.181998383212161,0.562,0.416,0.000941365518370924
"EHD2",4.4695205752964e-08,0.201650929220179,0.44,0.302,0.000944365002354377
"CBFA2T2",4.5629040813888e-08,0.187957874484384,0.577,0.439,0.00096409600335664
"ZNF347",4.57681381835587e-08,0.133347517054808,0.226,0.123,0.000967034991680411
"ZNF346",4.61723357353428e-08,0.168991206123761,0.398,0.267,0.000975575281752058
"LINC01341",4.62634152547394e-08,-0.191699393370424,0.145,0.264,0.000977499700917389
"TRAIP",4.62783213398643e-08,0.142807274320106,0.31,0.189,0.000977814651589992
"C2CD4C",4.62898835671131e-08,0.106808631396413,0.161,0.075,0.000978058949889533
"TCERG1",4.6375166504728e-08,0.177089817356785,0.732,0.593,0.000979860893078397
"ZCCHC24",4.64924945489187e-08,0.161756563670326,0.327,0.205,0.000982339917324104
"SNX27",4.67031771225779e-08,0.211678116606131,0.847,0.763,0.00098679142942295
"DYNC1LI2",4.69338444295815e-08,-0.198131663919416,0.86,0.898,0.000991665198952628
"CD74",4.69542685688393e-08,-0.183838300916977,1,1,0.000992096740591007
"PTPN1",4.72727705294489e-08,-0.295913297173136,0.849,0.882,0.000998826368516727
"TXN2",4.74880927188551e-08,-0.235027795754375,0.692,0.78,0.00100337591105669
"CLEC16A",4.76856494779721e-08,0.176543364921675,0.363,0.239,0.00100755008782007
"ZMYM5",4.77081338060028e-08,0.13870640601564,0.312,0.189,0.00100802515918703
"GJB2",4.82501808557244e-08,0.168398504484066,0.335,0.214,0.0010194780713006
"TEX45",4.8320566877349e-08,0.0894046598814271,0.105,0.038,0.00102096525755151
"BCL2L1",4.85591051233264e-08,0.185907491300013,0.939,0.923,0.00102600533215076
"PKIB",4.87451900373987e-08,-0.214137045200339,0.166,0.285,0.0010299371203002
"TPT1-AS1",4.87659496838834e-08,0.167677874179728,0.444,0.307,0.00103037575087077
"MED10",4.95587575114046e-08,0.194357926282188,0.732,0.592,0.00104712698745847
"UBE3B",4.97452639188669e-08,0.172294757525293,0.654,0.497,0.00105106768134174
"AIFM2",4.9840163085092e-08,0.147493590257201,0.266,0.154,0.00105307280582491
"ZSCAN1",5.01916321809643e-08,0.169353373827656,0.335,0.215,0.00106049899635159
"R3HDM2",5.03339740185008e-08,0.20128140440926,0.677,0.546,0.0010635065370369
"MORC3",5.09302210821592e-08,0.187193394604725,0.438,0.307,0.00107610464124494
"CRADD",5.12113485688461e-08,0.15765366218948,0.365,0.236,0.00108204458391115
"MIR34AHG",5.12621730838551e-08,0.0962202102694465,0.126,0.051,0.00108311845508877
"FMC1",5.13536599676897e-08,-0.234364488107448,0.338,0.453,0.00108505148145731
"KCTD7",5.16062357448721e-08,0.127061240463639,0.21,0.11,0.0010903881550534
"CD34",5.18519943012183e-08,0.19663396119289,0.329,0.207,0.00109558078759044
"AL121899.1",5.23203104200204e-08,-0.115130204964393,0.023,0.102,0.00110547583886461
"GPRC5A",5.23680323736899e-08,-0.167427029048549,0.998,1,0.00110648415602369
"THAP1",5.25786142120755e-08,0.167333174002305,0.488,0.346,0.00111093353968694
"B4GALT3",5.29307142153975e-08,-0.223540791659618,0.669,0.745,0.00111837306065713
"ABHD17C",5.31054632915603e-08,-0.259987933275373,0.639,0.7,0.00112206533388738
"AL157392.3",5.32801366628866e-08,0.154471114596782,0.413,0.278,0.00112575600755013
"DDX17",5.41747865455972e-08,-0.159846775215827,0.996,0.998,0.00114465906492192
"PPP1R35",5.43196937249072e-08,0.199794998295855,0.688,0.561,0.00114772080871356
"GPCPD1",5.44790993878282e-08,0.167481637040871,0.52,0.368,0.00115108889096542
"PPIP5K2",5.46933085897734e-08,0.193221483788533,0.639,0.505,0.00115561491719332
"DUSP13",5.51971505873578e-08,-0.117830827042231,0.023,0.102,0.00116626059476028
"REV3L",5.52545540721591e-08,0.111145901327759,0.193,0.097,0.00116747347299065
"PATJ",5.55683294321358e-08,0.198042829261969,0.662,0.513,0.0011741032325716
"DAPK2",5.55996983365582e-08,0.186913114121023,0.541,0.39,0.00117476602615314
"ITGA2",5.58082584551427e-08,0.176955916666509,0.484,0.348,0.00117917269289871
"MIEF2",5.63100770729085e-08,0.12157701395591,0.191,0.096,0.00118977561847348
"JMJD7",5.64131657648146e-08,0.141101808950291,0.294,0.174,0.00119195377944477
"SKI",5.67583015434875e-08,0.181285633546634,0.478,0.339,0.00119924615331235
"RARS2",5.69516854936523e-08,0.166112531990968,0.472,0.331,0.00120333216279538
"DUSP3",5.69681556635925e-08,0.195479096311246,0.767,0.645,0.00120368016101605
"SLC43A2",5.74105825470365e-08,0.18603807420865,0.444,0.309,0.00121302819863633
"UNC5C",5.7631230132242e-08,-0.167101714377416,0.046,0.136,0.00121769026146414
"MIS18BP1",5.77127352533103e-08,0.148129304741283,0.403,0.267,0.00121941238316719
"ZNF12",5.80286596743799e-08,0.154684781223216,0.47,0.325,0.00122608755025997
"NINJ2",5.81423830557428e-08,0.0976127146414089,0.128,0.053,0.00122849041158479
"ERCC6",5.81834316172989e-08,0.164012198271733,0.382,0.249,0.00122935772664191
"ZFYVE21",5.89510558995956e-08,-0.231399517190682,0.451,0.566,0.00124557686010256
"FCSK",5.89582937401319e-08,-0.243923121262113,0.553,0.643,0.00124572978843525
"ZBTB45",5.98130705247957e-08,0.170076050516388,0.543,0.393,0.00126379036711841
"C1orf131",6.04556012526102e-08,0.168090928377922,0.541,0.39,0.0012773663988664
"MBTPS2",6.06323787964009e-08,-0.242639691711834,0.465,0.563,0.00128110153158916
"PKN3",6.12038826569018e-08,0.145315000925458,0.237,0.133,0.00129317683665768
"VAPA",6.20092051867871e-08,0.176178217782205,0.99,0.972,0.00131019249639162
"METTL1",6.24152451070028e-08,0.17717697890504,0.642,0.495,0.00131877171386586
"PLSCR4",6.25586559413491e-08,0.109443849892908,0.168,0.08,0.00132180184138476
"GGA1",6.27516005448513e-08,-0.230445038134438,0.591,0.681,0.00132587856791216
"TNS1",6.32270396102989e-08,0.216151143873284,0.53,0.41,0.00133592411992601
"PLEKHG2",6.45058130739375e-08,0.150062896809335,0.287,0.173,0.00136294332443923
"GDI1",6.49016530375628e-08,0.162089943636201,0.96,0.949,0.00137130702703066
"ERCC2",6.55675944623691e-08,0.193543488082801,0.558,0.434,0.0013853777033954
"RRP12",6.59006671148076e-08,0.192692204356112,0.694,0.562,0.00139241519546877
"SPC24",6.61781198268875e-08,0.144674826543774,0.275,0.161,0.00139827749382231
"AL022322.1",6.68514250805629e-08,-0.174793215242188,0.132,0.248,0.00141250376052721
"EAF2",6.72226180513794e-08,-0.211359981827175,0.159,0.276,0.0014203466968076
"COX17",6.73113307540845e-08,-0.155032174450022,0.998,0.995,0.00142222110750305
"SPON1",6.74600849163949e-08,0.133511140250198,0.233,0.128,0.00142536413419851
"ADIPOR1",6.80048547885515e-08,-0.190857746404162,0.987,0.994,0.0014368745768273
"SYPL1",6.83532735329336e-08,0.213296017192594,0.78,0.708,0.00144423631647735
"IGSF3",6.83881720294412e-08,0.185275659110214,0.486,0.353,0.00144497368681006
"SNAI2",6.86161459978967e-08,0.126612603853209,0.187,0.094,0.00144979054878956
"HSPB2",6.86486670331179e-08,0.0911325106047766,0.103,0.038,0.00145047768574275
"GTF3C5",6.8672324267432e-08,0.191353550431378,0.78,0.642,0.00145097753944657
"CDK11A",6.92967336370865e-08,0.133511140250198,0.237,0.132,0.001464170685018
"ZYX",6.93494185802492e-08,0.190172876615289,0.828,0.703,0.00146528386518209
"CDK4",7.01300057579504e-08,0.195995722429644,0.887,0.79,0.00148177689165973
"SSBP4",7.02011637024802e-08,0.182767304660144,0.881,0.796,0.0014832803878697
"RBM4",7.0214039592523e-08,-0.213988833641862,0.836,0.901,0.00148355244255042
"ZNF714",7.10542020156783e-08,0.105915686663644,0.13,0.055,0.00150130423438927
"RBPMS",7.27478612302877e-08,-0.23206781204658,0.396,0.516,0.00153708955993475
"CHST11",7.27651450367375e-08,0.129462841937123,0.27,0.157,0.00153745474948123
"PITPNM1",7.36559149352423e-08,0.15689813413574,0.388,0.257,0.00155627582666674
"NANP",7.3758265736156e-08,0.126030366758008,0.22,0.119,0.00155843839673924
"ZNHIT2",7.40044799735496e-08,0.158034113252726,0.451,0.31,0.00156364065736113
"LRRC40",7.44090937356877e-08,0.136507234873041,0.291,0.174,0.00157218974154135
"FNBP1L",7.44308052126252e-08,0.172158485202444,0.644,0.489,0.00157264848333756
"FAM222B",7.45507252211102e-08,-0.229466041304834,0.34,0.455,0.00157518227319684
"BBC3",7.46784050291799e-08,0.185074729115593,0.602,0.454,0.00157788001986154
"FAM111A-DT",7.48120248521105e-08,0.10967940518757,0.151,0.069,0.00158070327310024
"ACOT2",7.52003820050867e-08,-0.239889745892952,0.486,0.589,0.00158890887138548
"CENPB",7.53321669842953e-08,0.201788561579976,0.883,0.854,0.00159169335621117
"LCMT1",7.53726235665184e-08,0.169765807506604,0.935,0.906,0.00159254816333697
"NAAA",7.58183075650223e-08,0.134490332759074,0.252,0.143,0.00160196502054136
"SACS",7.59787667510057e-08,0.121874684846545,0.191,0.097,0.001605355362682
"ANKRD10",7.60925843608663e-08,0.190224866937244,0.887,0.817,0.00160776021496074
"RAE1",7.63312609681384e-08,0.196042726828988,0.824,0.72,0.0016128032129958
"BCL2L2",7.63385445196386e-08,-0.237350094185266,0.432,0.539,0.00161295710715544
"C1QB",7.6345844051065e-08,-0.288543631519213,0.931,0.919,0.00161311133895495
"ADAM8",7.65008656390491e-08,0.200309252857032,0.499,0.37,0.00161638679008747
"MINDY3",7.6718994534207e-08,0.145144464169393,0.411,0.27,0.00162099563551326
"HK3",7.77546506204501e-08,0.107421579122373,0.153,0.07,0.00164287801295949
"TMPRSS6",7.86711031168865e-08,-0.1849980979959,0.119,0.23,0.00166224173775669
"LPIN3",7.91528163733186e-08,0.173880707993971,0.541,0.393,0.00167241985715185
